model,component,weight,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
Custom GaussianMixtureEM,0,0.41864461142238146,12.479690072268678,2.3414589112812862,2.295535496481127,20.95221896341751,93.84574027016014,1.936735466540553,1.5104587465168806,0.37056762546283717,1.3099066255893221,4.697270695683311,0.8733283479954991,2.2861005536741352,553.9115734658395
Custom GaussianMixtureEM,1,0.07258064508789176,12.36111111117138,2.165555555622945,2.0922222220433304,18.177777777451112,113.33333336044137,2.0866666671482377,1.6155555560294224,0.42111111096428383,2.308888889860852,4.630000000237055,0.9577777778039281,2.2844444447536447,651.4444445260289
Custom GaussianMixtureEM,2,0.508774743489727,13.432574562309403,2.2595452476108675,2.458060966005841,18.824951721609676,103.2411756646032,2.6157136405751427,2.471611082993745,0.3425864718625698,1.7485115607260553,5.290629631311483,1.0190490879770542,2.9053687836875732,922.12968058265
sklearn GaussianMixture,0,0.048387096774193575,12.211666666666668,1.8716666666666668,2.1766666666666667,20.266666666666666,138.16666666666666,2.388333333333333,1.9766666666666668,0.23333333333333336,2.6066666666666665,2.933333333333334,1.085,2.763333333333333,762.8333333333334
sklearn GaussianMixture,1,0.6296745695244045,13.014678077623392,1.9574761043465008,2.3421579128840144,18.65420003471912,98.30897541892763,2.601691990372389,2.566760648214432,0.3197289137650075,1.737293782642299,4.2653480112682605,1.0617523337535764,3.01162740597176,818.7657345706361
sklearn GaussianMixture,2,0.32193833370140196,12.952754448438728,2.993985458216767,2.433223396327382,21.562601040114437,97.69627795101536,1.6751056319604298,0.9170318528779053,0.45780354760911307,1.1974522099185947,6.729728342183911,0.7223070574485013,1.7736114636905875,608.3879205365926
