model,train_log_likelihood,test_log_likelihood,train_avg_log_likelihood,test_avg_log_likelihood,test_bic,test_aic,ari_vs_true_labels,nmi_vs_true_labels,cluster_accuracy_vs_true_labels,n_iter,converged,train_time_seconds
Custom GaussianMixtureEM,-1400.4411805890363,-891.865255416692,-11.29388048862126,-16.51602324845726,3036.271501454566,2411.730510833384,0.22665098066759143,0.2884314156046281,,41,True,0.06565587501972914
sklearn GaussianMixture,-1291.383757712837,-810.5233618376685,-10.41438514284546,-15.00969188588275,2873.587714296519,2249.046723675337,0.4499755319687484,0.5847377383424193,,6,True,0.0310885407961905
