model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,train_time_sec_mean,train_time_sec_std
Custom Gradient Boosting,0.9494505494505494,0.01644684565614918,0.9650761648745518,0.04065575713063291,0.9,0.04401949866792873,0.9299358705810319,0.023133526092261825,0.9843137254901961,0.007501309400505724,0.19585800927282526,0.026055166193269426,1.871659808201366,0.02190370604073554
Sklearn GradientBoosting,0.9714285714285715,0.011206636293610512,0.9764390756302521,0.021593215322310223,0.9470588235294117,0.028817526385684453,0.9610849389060634,0.015553392117537593,0.991640866873065,0.005245929835764224,0.09234191964476104,0.03325861856654147,0.23093111680063885,0.0030699596130049347
