model,accuracy,precision,recall,f1
ID3 before pruning,0.816793893129771,0.8170731707317073,0.67,0.7362637362637363
ID3 after pruning,0.8396946564885496,0.8222222222222222,0.74,0.7789473684210526
sklearn DecisionTreeClassifier,0.8091603053435115,0.7976190476190477,0.67,0.7282608695652174
