model,accuracy,precision,recall,f1,train_time_seconds
custom OOB Random Forest,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.11102820793166757
sklearn RandomForestClassifier,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.10502649983391166
