model,train_avg_log_likelihood,test_avg_log_likelihood,test_total_log_likelihood,bic_test,aic_test,clustering_accuracy,adjusted_rand_index,normalized_mutual_info,n_iter,converged,train_time_sec
Custom GMM EM,-11.464321802204715,-15.170704096526894,-682.6816843437102,2560.655390475301,1993.3633686874205,0.9555555555555556,0.8575486673907594,0.8728217193782316,22,True,0.014628792006988078
Sklearn GaussianMixture,-11.464321802204717,-15.170704096526892,-682.6816843437101,2560.655390475301,1993.3633686874202,0.9555555555555556,0.8575486673907594,0.8728217193782316,22,True,0.04405058303382248
