,importance
marital-status,0.439029665120606
education-num,0.24235992130777723
capital-gain,0.18065064396279598
age,0.04240593617310043
hours-per-week,0.04123725451017954
occupation,0.024095909043526337
capital-loss,0.014420798712552405
relationship,0.011071587850344667
sex,0.003843746237828986
workclass,0.0008845370812884661
education,0.0
race,0.0
native-country,0.0
