model,accuracy,precision,recall,f1,roc_auc
Custom ID3 before pruning,0.8566666666666667,0.7577092511013216,0.5951557093425606,0.6666666666666666,0.8871596291386704
Custom ID3 after pruning,0.8608333333333333,0.7932692307692307,0.5709342560553633,0.6639839034205232,0.8618822617831274
Sklearn DecisionTree,0.8591666666666666,0.7702702702702703,0.5916955017301038,0.6692759295499021,0.8847629320986482
