model,iteration,test_log_loss
Custom Gradient Boosting,1,0.597473278048712
Custom Gradient Boosting,2,0.5473677193445103
Custom Gradient Boosting,3,0.504687369414201
Custom Gradient Boosting,4,0.46803937066357953
Custom Gradient Boosting,5,0.4344578485229361
Custom Gradient Boosting,6,0.4064922375157986
Custom Gradient Boosting,7,0.3821390932983656
Custom Gradient Boosting,8,0.35725758189535134
Custom Gradient Boosting,9,0.3400682217297734
Custom Gradient Boosting,10,0.3189561570071457
Custom Gradient Boosting,11,0.3005089838046354
Custom Gradient Boosting,12,0.28529735788743693
Custom Gradient Boosting,13,0.2704907454107126
Custom Gradient Boosting,14,0.2592440676021797
Custom Gradient Boosting,15,0.24807938142012395
Custom Gradient Boosting,16,0.2399206861476261
Custom Gradient Boosting,17,0.22997038888771337
Custom Gradient Boosting,18,0.2174626146295944
Custom Gradient Boosting,19,0.20765400756987037
Custom Gradient Boosting,20,0.19941194430689038
Custom Gradient Boosting,21,0.19269576807028768
Custom Gradient Boosting,22,0.1870962612049189
Custom Gradient Boosting,23,0.18390492483105889
Custom Gradient Boosting,24,0.17873214590136008
Custom Gradient Boosting,25,0.17323452589141314
Custom Gradient Boosting,26,0.16837208808859652
Custom Gradient Boosting,27,0.1615117248659481
Custom Gradient Boosting,28,0.15594693274958896
Custom Gradient Boosting,29,0.1527633373522195
Custom Gradient Boosting,30,0.1493398299780535
Custom Gradient Boosting,31,0.14753209419111635
Custom Gradient Boosting,32,0.1473875680808148
Custom Gradient Boosting,33,0.14396264944764958
Custom Gradient Boosting,34,0.14063417647538454
Custom Gradient Boosting,35,0.1368032120818219
Custom Gradient Boosting,36,0.13487730152934665
Custom Gradient Boosting,37,0.131794479711883
Custom Gradient Boosting,38,0.12971590628106405
Custom Gradient Boosting,39,0.1289935116899599
Custom Gradient Boosting,40,0.12895701126575695
Custom Gradient Boosting,41,0.1281432270185106
Custom Gradient Boosting,42,0.12714922123890626
Custom Gradient Boosting,43,0.12512768395354726
Custom Gradient Boosting,44,0.12523734943003592
Custom Gradient Boosting,45,0.12256919651740765
Custom Gradient Boosting,46,0.11983069426688146
Custom Gradient Boosting,47,0.11921011326298764
Custom Gradient Boosting,48,0.11869656619809707
Custom Gradient Boosting,49,0.11756134655872386
Custom Gradient Boosting,50,0.11667924635651998
Custom Gradient Boosting,51,0.1172623983616928
Custom Gradient Boosting,52,0.11435525954072452
Custom Gradient Boosting,53,0.11428845105907386
Custom Gradient Boosting,54,0.1120480669096162
Custom Gradient Boosting,55,0.11279612865786506
Custom Gradient Boosting,56,0.11016813504548949
Custom Gradient Boosting,57,0.10932125081051569
Custom Gradient Boosting,58,0.10944753202395437
Custom Gradient Boosting,59,0.10872354488025089
Custom Gradient Boosting,60,0.10856108247663142
Custom Gradient Boosting,61,0.10781377318235741
Custom Gradient Boosting,62,0.1069651281652528
Custom Gradient Boosting,63,0.10626213838452084
Custom Gradient Boosting,64,0.10616999388547778
Custom Gradient Boosting,65,0.10648624672230181
Custom Gradient Boosting,66,0.10594411847704173
Custom Gradient Boosting,67,0.1049809919316072
Custom Gradient Boosting,68,0.10472016285575654
Custom Gradient Boosting,69,0.10551328136093016
Custom Gradient Boosting,70,0.10572190535424868
