model,accuracy_mean,accuracy_std,roc_auc_mean,log_loss_mean,fit_time_mean_seconds
Custom Gradient Boosting,0.9604395604395604,0.022787298190470047,0.9936016511867904,0.10812632794618453,0.3162670135498047
sklearn GradientBoostingClassifier,0.9714285714285715,0.01996252980723624,0.9932920536635708,0.10870372787759837,0.39637279510498047
