model,accuracy,precision,recall,f1,roc_auc,log_loss,train_time_seconds
Custom Gradient Boosting,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231,0.9930555555555556,0.1072585091985271,0.3787612090818584
sklearn GradientBoostingClassifier,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231,0.9927248677248678,0.10286620215767665,0.3276400840841234
