feature,importance_mean,importance_std,importance_normalized
pixel_3_2,0.008582695430294588,0.002685186013173303,0.09560723514211872
pixel_2_5,0.008118765947575953,0.0006560953664454286,0.09043927648578788
pixel_4_6,0.006958942240779383,0.0009841430496681167,0.07751937984496098
pixel_5_2,0.00579911853398285,0.001995436155658245,0.0645994832041345
pixel_5_3,0.005799118533982813,0.001429926699830431,0.06459948320413408
pixel_6_2,0.004639294827186243,0.0006560953664454286,0.05167958656330718
pixel_2_2,0.004175365344467645,0.0009841430496681167,0.04651162790697676
pixel_6_3,0.0037114358617490093,0.0018264921999563196,0.04134366925064591
pixel_1_4,0.00347947112038971,0.0017045857639409593,0.038759689922480696
pixel_3_3,0.0032475063790304106,0.00032804768322268815,0.03617571059431548
pixel_7_5,0.0032475063790303738,0.0018264921999563714,0.03617571059431507
pixel_4_2,0.0030155416376711117,0.00032804768322268815,0.03359173126615027
pixel_6_6,0.0027835768963118124,0.0,0.03100775193798505
pixel_4_4,0.0027835768963117755,0.0011363905092939576,0.03100775193798464
pixel_0_5,0.00231964741359314,0.0021511525157725782,0.025839793281653797
pixel_1_2,0.0020876826722338406,0.0015033033399229662,0.02325581395348858
pixel_3_4,0.0020876826722338038,0.001968286099336286,0.02325581395348817
pixel_2_4,0.0020876826722338038,0.0011363905092940032,0.02325581395348817
pixel_1_5,0.0016237531895152053,0.0008679325879782176,0.01808785529715774
pixel_3_6,0.0016237531895152053,0.001182792742656657,0.01808785529715774
pixel_0_4,0.0016237531895152053,0.00032804768322268815,0.01808785529715774
pixel_2_3,0.0013917884481559062,0.0017045857639409593,0.015503875968992525
pixel_5_6,0.0013917884481559062,0.0,0.015503875968992525
pixel_7_4,0.00115982370679657,0.0011827927426566714,0.012919896640826899
pixel_0_3,0.00115982370679657,0.00032804768322274047,0.012919896640826899
pixel_5_1,0.0009278589654372338,0.000867932587978178,0.010335917312661272
pixel_7_6,0.0009278589654372338,0.000867932587978178,0.010335917312661272
pixel_6_5,0.0006958942240779346,0.0009841430496681169,0.007751937984496056
pixel_7_2,0.0006958942240779346,0.0005681952546470016,0.007751937984496056
pixel_4_1,0.0006958942240779346,0.0015033033399229662,0.007751937984496056
pixel_1_3,0.0002319647413593362,0.000867932587978178,0.002583979328165627
pixel_2_1,0.0002319647413592992,0.0003280476832226881,0.002583979328165215
pixel_4_5,0.0002319647413592992,0.0006560953664453762,0.002583979328165215
pixel_6_1,0.0002319647413592992,0.0003280476832226881,0.002583979328165215
pixel_6_0,0.0,0.0,0.0
pixel_5_7,0.0,0.0,0.0
pixel_7_1,0.0,0.0005681952546469563,0.0
pixel_7_0,0.0,0.0,0.0
pixel_6_7,0.0,0.0,0.0
pixel_0_0,0.0,0.0,0.0
pixel_4_0,0.0,0.0,0.0
pixel_5_0,0.0,0.0,0.0
pixel_3_0,0.0,0.0,0.0
pixel_0_6,0.0,0.0011363905092940032,0.0
pixel_0_7,0.0,0.0,0.0
pixel_1_0,0.0,0.0,0.0
pixel_2_0,0.0,0.0,0.0
pixel_4_7,0.0,0.0,0.0
pixel_2_7,0.0,0.0,0.0
pixel_7_7,0.0,0.0,0.0
pixel_3_7,0.0,0.0,0.0
pixel_1_7,-0.0002319647413592992,0.0003280476832226881,0.0
pixel_5_5,-0.0002319647413593362,0.000867932587978178,0.0
pixel_7_3,-0.0002319647413593362,0.000867932587978178,0.0
pixel_6_4,-0.0002319647413593362,0.000867932587978178,0.0
pixel_3_5,-0.0004639294827186354,0.0008679325879781683,0.0
pixel_0_1,-0.0006958942240778976,0.0,0.0
pixel_2_6,-0.0006958942240779346,0.0005681952546470016,0.0
pixel_0_2,-0.0006958942240779346,0.0015033033399229662,0.0
pixel_3_1,-0.0009278589654372708,0.0011827927426566207,0.0
pixel_4_3,-0.0013917884481559062,0.0,0.0
pixel_1_6,-0.0016237531895152053,0.00032804768322268815,0.0
pixel_5_4,-0.0037114358617490093,0.0017358651759563463,0.0
pixel_1_1,-0.004871259568545579,0.0005681952546470015,0.0
