model,accuracy,precision_macro,recall_macro,f1_macro,train_time_sec,oob_score
Custom Random Forest,0.975,0.9754471785431539,0.9746825396825397,0.9746172856076305,0.1742495000071358,0.9672929714683368
Sklearn RandomForest,0.9611111111111111,0.9621488644514959,0.9606349206349207,0.9605174519685742,0.09430654199968558,0.9700765483646486
