model,family,rmse,ndcg@10,train_time_sec
Custom SLIM,SLIM,0.23403792144910998,0.09604657186026715,0.691523541987408
Sklearn ElasticNet SLIM,SLIM reference,0.2429027520107585,0.10328529990430736,0.08454395801527426
Custom LSA,Latent semantic,0.23964320876193046,0.08868505877619058,0.005738292005844414
Sklearn TruncatedSVD,Latent semantic reference,0.23941841240664744,0.09057684440003821,0.0032839999767020345
